gpoi_type,lit_type,n,n_pois,thres_m,lit_per_poi,all_lit,lit_pc
night_club,drink,2,5,20,0.4,178557,0
night_club,antaflu,7,5,20,1.4,178557,0
park,all,1204,33,20,36.48,178557,0.7
park,plastic,505,33,20,15.3,178557,0.3
park,can,99,33,20,3,178557,0.1
park,wrapper,133,33,20,4.03,178557,0.1
park,paper,65,33,20,1.97,178557,0
park,metal,98,33,20,2.97,178557,0.1
park,cigarette,353,33,20,10.7,178557,0.2
park,bottle,28,33,20,0.85,178557,0
park,candy,60,33,20,1.82,178557,0
park,piece,93,33,20,2.82,178557,0.1
park,firework,136,33,20,4.12,178557,0.1
park,bag,47,33,20,1.42,178557,0
park,energydrink,38,33,20,1.15,178557,0
park,beer,49,33,20,1.48,178557,0
park,aluminum,14,33,20,0.42,178557,0
park,knetterbal,135,33,20,4.09,178557,0.1
park,redbull,14,33,20,0.42,178557,0
park,cup,17,33,20,0.52,178557,0
park,mcdonalds,8,33,20,0.24,178557,0
park,drink,4,33,20,0.12,178557,0
park,antaflu,20,33,20,0.61,178557,0
parking,all,2531,38,20,66.61,178557,1.4
parking,plastic,1378,38,20,36.26,178557,0.8
parking,can,245,38,20,6.45,178557,0.1
parking,wrapper,212,38,20,5.58,178557,0.1
parking,paper,203,38,20,5.34,178557,0.1
parking,metal,219,38,20,5.76,178557,0.1
parking,cigarette,352,38,20,9.26,178557,0.2
parking,bottle,100,38,20,2.63,178557,0.1
parking,candy,94,38,20,2.47,178557,0.1
parking,piece,153,38,20,4.03,178557,0.1
parking,firework,72,38,20,1.89,178557,0
parking,bag,87,38,20,2.29,178557,0
