Var1,Freq,pc
plastic food wrappers,79,0
bigmac,78,0
coaster,78,0
duyvis,78,0
haarelastiek,78,0
interparking,78,0
jerrycan,78,0
orange,78,0
rabobank,78,0
snackbar eilandplein,78,0
tropical,78,0
bitburger,77,0
drankverpakking,77,0
futurola,77,0
golden power 7,77,0
hugo,77,0
innocent,77,0
kwalitaria,77,0
strong kong,77,0
tennis,77,0
wodka,77,0
cleaning,76,0
kabellaar,76,0
lacubanita,76,0
rietverdriet,76,0
alunimum,76,0
feedernet,75,0
medicijnen,75,0
popcorn,75,0
blauwmouw,75,0
nerf,74,0
pepsico,74,0
philipmorris,74,0
power,74,0
top,74,0
afsluitclip,73,0
band,73,0
jamin,73,0
lightrunroermond,73,0
nurdles,73,0
papieren zakdoekje,73,0
toothbrush,73,0
cigarette box.,73,0
ace,72,0
benandjerrys,72,0
cannister,72,0
disposables,72,0
fruits,72,0
lm,72,0
meharis,72,0
small piece,72,0
vuuraansteker,72,0
bike,71,0
brekies,71,0
bubblegum,71,0
candypackage,71,0
dubbel frisss,71,0
lutti mint,71,0
nivea,71,0
plasticsoup,71,0
special,71,0
shagpack,71,0
chupa,70,0
dentalcare,70,0
energybar,70,0
fishingrope,70,0
icecup,70,0
narco,70,0
rittersport,70,0
rockstar,70,0
teabag,70,0
sigarettenpeuken,70,0
BackToSender,69,0
flag,69,0
hopjes,69,0
kordaat,69,0
lottery,69,0
m,69,0
pizzabox,69,0
vrieslollies,69,0
metallicfoil,69,0
De Klok,68,0
fles,68,0
jetgum,68,0
koek verpakking,68,0
mnm,68,0
lachgas patroon,68,0
admission,67,0
cable,67,0
hondenpoep in plastic zak,67,0
ijzer,67,0
krant/reklame,67,0
krombacher,67,0
philips,67,0
sigarette,67,0
spork,67,0
stopsucking,67,0
tywrap,67,0
unox,67,0
plastic stir bar,67,0
chocolat,66,0
cigarette box,66,0
golden power,66,0
leaf,66,0
lonka,66,0
redbullchallenge,66,0
rentex floron koffiebeker,66,0
aloe,65,0
euroshopper,65,0
floss,65,0
isolatiemateriaal,65,0
passoa,65,0
plastic spoon,65,0
segafredo,65,0
teisseire,65,0
wikkel,65,0
bonomel,64,0
cab,64,0
kruitvat,64,0
popsticle,64,0
strapping,64,0
williamlawson,64,0
zak,64,0
chipbag,64,0
cover,63,0
gemeentearnhem,63,0
lemco,63,0
naturis,63,0
pelicanrouge,63,0
polski,63,0
bike light,62,0
coin,62,0
garbage,62,0
gas,62,0
mc donalds,62,0
mcchicken,62,0
monsterenergy,62,0
parkingticket,62,0
plasticfles,62,0
raffaello,62,0
topaqua,62,0
tuesday,62,0
thinfoil,62,0
gear,61,0
nederlandschoon,61,0
praxis,61,0
returntostientje,61,0
slagroompatroon,61,0
zuivelhoeve,61,0
aerosol,60,0
b’tween,60,0
beerbottle,60,0
cablejacket,60,0
copper,60,0
dogshit,60,0
kauwgomverpakking,60,0
oil,60,0
plantpot,60,0
schutters bier,60,0
schuttersbier,60,0
tile,60,0
zaanstad,60,0
zilver,60,0
bag piece,60,0
engerydrink,60,0
pyrotechnics,60,0
020,59,0
atlas,59,0
dubbel friss,59,0
flamingo,59,0
mucci,59,0
ricola,59,0
tennisbal,59,0
vivil,59,0
xylifresh,59,0
british american tobacco,59,0
best,58,0
candle,58,0
cheese,58,0
drfoots,58,0
emte,58,0
jagermeister,58,0
maom,58,0
nitrous oxide cartridge,58,0
sigaretten,58,0
tierib,58,0
toddlerball,58,0
zeeman,58,0
Amstel,57,0
amstelbier,57,0
beercap,57,0
chubby,57,0
cigar,57,0
citycouncil,57,0
dolphin,57,0
drinkingpouch,57,0
earth,57,0
fibre,57,0
haarlemmermeer,57,0
magazine,57,0
matches,57,0
medication,57,0
melba,57,0
panter,57,0
paper cup,57,0
sex,57,0
soap,57,0
abinbev,57,0
6,56,0
aro,56,0
arriva,56,0
bonuskaart,56,0
bp,56,0
camaro,56,0
dogbag gemeente westland,56,0
festini,56,0
ijscuypje,56,0
jack daniels,56,0
quellbrun,56,0
roompot,56,0
toast,56,0
verbrand,56,0
vidal,56,0
kapot getrapt patatbakje,56,0
air,55,0
crystal clear,55,0
finley,55,0
labello,55,0
limonade,55,0
lock,55,0
mogu mogu,55,0
plasticfork,55,0
sports,55,0
trash,55,0
tropicana,55,0
troppie,55,0
vuurwerkafval,55,0
building material,55,0
AA drink,54,0
afvalbak,54,0
clothepin,54,0
dilly,54,0
groundbloom,54,0
jsp,54,0
key,54,0
lipton icetea,54,0
pur,54,0
snoeppapier,54,0
westminster,54,0
bagsgeneral,54,0
birdfeeder,53,0
bluebasterd,53,0
byciclepart,53,0
dopje,53,0
duitsland,53,0
flowers,53,0
kleding,53,0
meat,53,0
plastic dop,53,0
weedbrush,53,0
